target,feat,metric,value
aa2ar,prop,ROC,0.635108639210521
adrb1,prop,ROC,0.6245855981808905
adrb2,prop,ROC,0.61827368481174
cxcr4,prop,ROC,0.7477382303256844
drd3,prop,ROC,0.542888266094811
andr,prop,ROC,0.5966451928015553
esr1,prop,ROC,0.7679931931032403
esr2,prop,ROC,0.7470207543075569
gcr,prop,ROC,0.6117975180027018
mcr,prop,ROC,0.6391211054845078
ppara,prop,ROC,0.6352660289430426
ppard,prop,ROC,0.612988025294443
pparg,prop,ROC,0.6299577296107429
prgr,prop,ROC,0.5957936940710513
rxra,prop,ROC,0.6114206372109275
thb,prop,ROC,0.6380127792096221
ace,prop,ROC,0.6461729003315629
ada17,prop,ROC,0.5679620634674523
bace1,prop,ROC,0.6769624931409574
casp3,prop,ROC,0.598033059707588
dpp4,prop,ROC,0.5332962860792152
fa10,prop,ROC,0.6310650357995227
fa7,prop,ROC,0.7300534353945294
hivpr,prop,ROC,0.6377711432963621
lkha4,prop,ROC,0.6067496025753463
mmp13,prop,ROC,0.5572224192726772
reni,prop,ROC,0.7568570143884893
thrb,prop,ROC,0.6485026156446566
try1,prop,ROC,0.6626043189165626
tryb1,prop,ROC,0.6347254385264447
urok,prop,ROC,0.7464620265491777
abl1,prop,ROC,0.6380143571337008
akt1,prop,ROC,0.7107257876959081
akt2,prop,ROC,0.7511768621286969
braf,prop,ROC,0.5764580512944328
cdk2,prop,ROC,0.6139989103693484
csf1r,prop,ROC,0.6241329886090099
egfr,prop,ROC,0.5939741383798828
fak1,prop,ROC,0.6092514768482321
fgfr1,prop,ROC,0.4823680152394775
igf1r,prop,ROC,0.6724539696381436
jak2,prop,ROC,0.6520589330988341
kit,prop,ROC,0.6316338937054419
kpcb,prop,ROC,0.6929955877718248
lck,prop,ROC,0.6179732995891246
mapk2,prop,ROC,0.6919976905311778
met,prop,ROC,0.6209518697441403
mk01,prop,ROC,0.5685635782581584
mk10,prop,ROC,0.5754896729143075
mk14,prop,ROC,0.6245615423145234
mp2k1,prop,ROC,0.5891703700409463
plk1,prop,ROC,0.6207161619798125
rock1,prop,ROC,0.6630286956096931
src,prop,ROC,0.5959870533504237
tgfr1,prop,ROC,0.5082591093117409
vgfr2,prop,ROC,0.6306881915617784
wee1,prop,ROC,0.6361696449396272
aces,prop,ROC,0.6919436313089854
ada,prop,ROC,0.6659004480826748
aldr,prop,ROC,0.5549141149809257
ampc,prop,ROC,0.4976982353137406
aofb,prop,ROC,0.5688555901367905
cah2,prop,ROC,0.6153436664424032
comt,prop,ROC,0.6097720622208532
cp2c9,prop,ROC,0.7168764975952284
cp3a4,prop,ROC,0.7305806849590413
def,prop,ROC,0.5618237902767786
dhi1,prop,ROC,0.5702659366238164
dyr,prop,ROC,0.7219818664471768
fabp4,prop,ROC,0.7386179985866592
fkb1a,prop,ROC,0.544934590368731
fnta,prop,ROC,0.6500086207574157
fpps,prop,ROC,0.7394207246661934
glcm,prop,ROC,0.7563383600573199
gria2,prop,ROC,0.5996551909616114
grik1,prop,ROC,0.57801102617761
hdac2,prop,ROC,0.6532220855739629
hdac8,prop,ROC,0.6186773877148537
hivint,prop,ROC,0.5081909488822887
hivrt,prop,ROC,0.5219453294980541
hmdh,prop,ROC,0.6768299077778918
hs90a,prop,ROC,0.739925339160521
hxk4,prop,ROC,0.5695070830075035
inha,prop,ROC,0.6796655689095747
ital,prop,ROC,0.5360243716679362
kif11,prop,ROC,0.6286394933985775
kith,prop,ROC,0.5635153038482492
nos1,prop,ROC,0.688486943217217
nram,prop,ROC,0.6948804031267497
pa2ga,prop,ROC,0.5687434576052822
parp1,prop,ROC,0.576725862969601
pde5a,prop,ROC,0.5874635477401142
pgh1,prop,ROC,0.5737593824718443
pgh2,prop,ROC,0.539535557180844
pnph,prop,ROC,0.5271923687840145
ptn1,prop,ROC,0.7259660597301992
pur2,prop,ROC,0.8319511262914586
pygm,prop,ROC,0.49617288775975504
pyrd,prop,ROC,0.5158208150534052
sahh,prop,ROC,0.4545234749233118
tysy,prop,ROC,0.7227992357512049
xiap,prop,ROC,0.6796857213561
aa2ar,prop,EF1,2.0079519411070215
adrb1,prop,EF1,3.716872427983539
adrb2,prop,EF1,6.198854763144196
cxcr4,prop,EF1,8.521934197407777
drd3,prop,EF1,2.974686456033067
andr,prop,EF1,2.329352608422376
esr1,prop,EF1,9.6339365008881
esr2,prop,EF1,11.182500965506026
gcr,prop,EF1,0.3995739846634479
mcr,prop,EF1,4.779610787316013
ppara,prop,EF1,2.7507435410470493
ppard,prop,EF1,0.0
pparg,prop,EF1,2.398353938046951
prgr,prop,EF1,2.072658819456465
rxra,prop,EF1,3.326680576975415
thb,prop,EF1,0.7876059322033898
ace,prop,EF1,5.994997759582875
ada17,prop,EF1,0.38953023938980086
bace1,prop,EF1,3.261153119092628
casp3,prop,EF1,4.179563492063493
dpp4,prop,EF1,1.779801958166444
fa10,prop,EF1,5.020435560859188
fa7,prop,EF1,15.811924769907963
hivpr,prop,EF1,5.135335405916477
lkha4,prop,EF1,4.517956734831841
mmp13,prop,EF1,2.2108425455888545
reni,prop,EF1,4.180327868852459
thrb,prop,EF1,2.1353486412471034
try1,prop,EF1,2.4095279217040875
tryb1,prop,EF1,5.122315592903828
urok,prop,EF1,7.159937888198758
abl1,prop,EF1,5.245297619047619
akt1,prop,EF1,9.904412349805044
akt2,prop,EF1,9.219554030874786
braf,prop,EF1,2.7122241086587433
cdk2,prop,EF1,3.6366875758708708
csf1r,prop,EF1,4.254121201947289
egfr,prop,EF1,2.8051054372957025
fak1,prop,EF1,5.581196581196582
fgfr1,prop,EF1,0.5064102564102564
igf1r,prop,EF1,10.497465990930914
jak2,prop,EF1,3.5541066117593227
kit,prop,EF1,3.4281774051191527
kpcb,prop,EF1,14.660674157303372
lck,prop,EF1,5.417248603351956
mapk2,prop,EF1,3.03
met,prop,EF1,3.728715728715729
mk01,prop,EF1,0.7455242966751917
